"DATE","AKNA","ALNA","ARNA","AZNA","CANA","CONA","CTNA","DCNA","DENA","FLNA","GANA","HINA","IANA","IDNA","ILNA","INNA","KSNA","KYNA","LANA","MANA","MDNA","MENA","MINA","MNNA","MONA","MSNA","MTNA","NCNA","NDNA","NENA","NHNA","NJNA","NMNA","NVNA","NYNA","OHNA","OKNA","ORNA","PANA","RINA","SCNA","SDNA","TNNA","TXNA","UTNA","VANA","VTNA","WANA","WINA","WVNA","WYNA"
"1990-01-01",230,1623.1,914.1,1473.8,12499.3,1503,1643.8,687.6,345.4,5346.4,3016.5,517.5,1216.5,376.6,5268.3,2513.5,1088,1450.5,1567,3047.5,2171.2,544.4,3905,2124.7,2345.1,929.5,293.3,3128.9,263.3,720.5,519.8,3690.7,572.4,610.2,8265,4842.3,1195.2,1244.7,5192.3,460.7,1517.8,283.4,2192.7,6994.8,710.6,2897.3,261.4,2121.1,2267.5,624.8,195.6
"1990-02-01",232.1,1621.3,913.4,1475.9,12508.2,1507,1639,689,350.3,5363.4,3021.8,521.5,1222.4,378.6,5278,2512.5,1089,1452.5,1569.7,3042.6,2181.2,543.2,3943.3,2130.4,2345.9,931.9,293.7,3139,263.4,723.6,517.7,3690.4,573.3,610.1,8268.4,4865.9,1199.3,1241.6,5195.9,461,1521.5,284.1,2195.7,7007.4,711.4,2905.4,259.9,2124.7,2276.9,626.7,196
"1990-03-01",234.4,1620.6,916.3,1478.7,12513.4,1511,1637.8,690.9,350.8,5372.8,3033,522.7,1220.1,381.4,5290.9,2518.4,1089.8,1459.6,1576.2,3035.9,2187.5,544.5,3956.4,2130.7,2345.5,935.3,294.9,3144.9,263.9,725,517.7,3694,575.5,613.3,8273,4877.4,1200,1248.3,5200.5,461.5,1522.7,285.6,2199.4,7030,713.9,2910.5,259.9,2131.1,2279.9,630.8,197.5
"1990-04-01",236.3,1634,918.5,1484.9,12540.2,1515,1628.8,688,348.7,5374.7,3027.1,526.2,1220.7,384,5284.2,2509,1089.6,1453.6,1579.8,3016.2,2186,542.3,3964.6,2134.3,2342.2,937,297.1,3142.7,265.7,730.3,513.8,3667,580.2,615.5,8247.2,4889.9,1203.6,1254.4,5183.6,456.7,1528,286.7,2200.4,7056.7,719.9,2905.8,260,2141.2,2287.9,630.9,199.5
"1990-05-01",236.2,1639.8,922,1488,12555.1,1524,1629.5,686.8,349.2,5380,3029.5,527.1,1222,383.6,5291.7,2511.2,1092.3,1458.8,1591.1,3010,2177.3,540.7,3964.8,2131.5,2346.3,940.9,297.2,3139.9,266.6,731.1,510.7,3659,582,616.1,8252.7,4895,1206.8,1257.4,5180.8,455.8,1532.2,288,2203.2,7095.3,721.5,2907.2,260.6,2144.6,2290.3,635.7,197.6
"1990-06-01",239.4,1642.4,924.8,1482.3,12554.2,1522.3,1628.9,687.9,348.4,5383.8,3038.2,527.8,1221.6,383.7,5297,2529.9,1091.8,1455.1,1588.2,3001.6,2185.7,540.5,3968.4,2131.8,2346,939,298.9,3137.1,266,732,509.2,3649.6,585.7,619.4,8231.3,4897.8,1212.2,1259.8,5176.2,454.8,1536.1,288,2202.6,7105.9,725,2904.8,259.6,2150.1,2296.8,634.8,197.9
"1990-07-01",238.8,1641.9,927.6,1484.4,12574.9,1522.5,1620.4,685.7,347.1,5372,3037.3,529.3,1229.8,384.5,5298.8,2540.8,1083.2,1464.4,1593.8,2987.6,2173,535.9,3973.7,2138.2,2347.8,943.4,297.6,3133.3,266.3,733.1,506.1,3639.3,581.6,626.5,8207.5,4900.3,1215.1,1260.8,5178.8,452.6,1530.1,290.3,2197.9,7122.2,726.5,2901.2,258.3,2154.9,2298.2,633.4,197.8
"1990-08-01",238.1,1642.7,928.2,1483.4,12544,1525.2,1615.4,686.5,350.1,5369.9,3036.7,529.9,1229.6,387.8,5308.9,2545.1,1091.8,1467.5,1599.1,2973.5,2170.7,529.3,3961.1,2140.7,2351.6,931.2,296.9,3121.2,266.5,733.9,504.9,3631.2,581.7,627.1,8200.3,4900.1,1217.2,1269.2,5173.9,451,1528.5,289.5,2202.7,7125.3,729.1,2900.9,257.6,2164.7,2298.2,632.1,198.9
"1990-09-01",238.2,1645.1,931.9,1485.8,12544.8,1529.4,1612.3,686.1,349.2,5363.5,3032.4,530.4,1235.3,390.6,5297.8,2530.7,1094.9,1466.4,1596.8,2963.1,2179.9,528.5,3945.8,2142.3,2348.2,941.6,296.5,3122.8,266.1,733.1,505.4,3605.9,581.4,626.9,8179.8,4904,1220.7,1260.8,5170.6,452,1535,290.3,2199.4,7159.4,733.4,2898.3,255.4,2161.4,2302.7,631.5,199
"1990-10-01",239.7,1639.8,929.5,1486.3,12562.9,1527.1,1601.4,681.4,347.1,5357.7,3018.8,534.8,1233.7,390.6,5282.6,2527.6,1094.9,1465.7,1595.9,2940.1,2161.3,526.9,3935.5,2139.6,2340.5,942.1,300.3,3107.5,267,732.3,499.3,3578.1,581.7,628.9,8134.7,4885.1,1213.9,1257,5151.8,449.1,1531.9,291.3,2192.8,7157.3,736.1,2881.5,254.4,2154.8,2301.5,630,199.2
"1990-11-01",241.1,1640.5,930.8,1489.6,12539.8,1534.5,1595.1,680.4,342.6,5343.6,3018.2,537.3,1234.4,391.2,5274.5,2516.9,1102.3,1462.8,1598.1,2928.6,2156.5,523.6,3912.4,2142.2,2340.5,942.4,300.2,3110.9,268.3,739.6,496.8,3560.4,586.3,629.9,8107.1,4868.8,1215.8,1259.9,5144.4,448.9,1528,291.8,2189,7166.1,737.7,2876.4,252.7,2158.5,2302,629.1,201.4
"1990-12-01",241.4,1639.1,929.9,1484.5,12535.7,1532.6,1589.6,681.3,342.2,5335.6,3008.3,536.3,1233.6,391.4,5270,2514.1,1096.6,1463.1,1596.3,2918.1,2152.9,521.8,3914,2141.7,2340.7,941,299.8,3103.9,268.5,737.3,493.8,3552.4,582.7,628.4,8085.3,4863.9,1216.5,1257.9,5136.8,446.6,1519.8,292.3,2184.3,7162.1,739.3,2872.1,253.2,2160.3,2299.2,629.8,201.1
"1991-01-01",241,1634.5,924.8,1497.3,12525.9,1538.4,1585.8,682.7,348.1,5313.6,2996,540.7,1233.7,392.4,5274.7,2511.2,1086.9,1455.1,1601.9,2878.1,2126.3,524.3,3907.8,2143.9,2310.8,937.2,299.3,3096.8,268.7,738.7,489.9,3543.8,582,629.5,8008,4849,1217.6,1252.4,5134.4,437.4,1512,292.2,2179.4,7143.7,738.9,2855.7,251.2,2164.4,2294.3,630.2,201.3
"1991-02-01",240.5,1630.4,928,1492.9,12478.1,1536,1573.7,681.7,341.1,5293.4,2978.9,537.6,1233.3,393.4,5256.5,2497.7,1087,1455.1,1601.4,2859.2,2120.6,519.5,3887.1,2138.9,2305.5,933.7,299.6,3081.8,269.1,738.3,486.3,3533,583.2,628.9,7979.5,4820.4,1220.6,1253.4,5119.2,433.9,1506.8,293.1,2177.8,7155.9,741.4,2839.8,248.9,2165.5,2294.3,631,201.8
"1991-03-01",240.2,1634,931.1,1492,12438.5,1537,1571.5,679.7,347.1,5282,2977.3,536.8,1233.9,393.5,5253.6,2491,1091.3,1452.6,1604.9,2849.8,2115.6,516.7,3870.8,2138.6,2307.4,932.8,298.5,3072.4,269,739.4,484.2,3526.2,582.1,628.3,7957.5,4817.8,1222.3,1251.8,5108.8,431.6,1505,293.4,2176.8,7169.3,743.3,2837.3,248.5,2169.9,2294.9,630.1,202.9
"1991-04-01",240.5,1635.1,931.5,1487.5,12448,1538.3,1568.5,677.2,338.2,5276.9,2970.4,535.7,1235.1,394.8,5256.2,2503.9,1094.5,1461,1608.5,2837.8,2107.6,515,3872.9,2141.6,2298.5,934,299.5,3073.7,269.7,738.9,481.2,3516.1,583.4,628.8,7932.9,4812.2,1226.8,1248.4,5096.9,426.8,1495.8,294.8,2172.4,7156.6,742.3,2832.4,248.6,2173.4,2294.6,628.9,202.9
"1991-05-01",240.7,1638,930.7,1485.3,12418,1539.4,1562.2,677,343.6,5271.9,2973.9,535.8,1235.3,395.4,5244.1,2501.9,1093,1461.1,1615.7,2827.5,2103.2,513.9,3874.5,2142.5,2298.4,932.8,300.4,3070,269.5,736.1,479.8,3506.4,583.7,627.9,7908.6,4803.9,1225.9,1249,5083.4,425.3,1495.5,295.1,2178.8,7169.3,744.4,2832.1,248.4,2178.8,2292.5,623.9,203.2
"1991-06-01",240.9,1641.4,934.8,1488.1,12398.2,1543.8,1561.1,678.5,342.8,5262.5,2981.1,537.2,1237.4,396,5234.2,2508.9,1092,1460.9,1614.3,2830.1,2104.6,513.4,3875.3,2144.9,2301.8,935.9,304.2,3066.8,270.4,737.7,480.1,3496.1,584.7,630.4,7900.3,4810.4,1229,1252.6,5083.7,423.7,1491.9,295.5,2179.3,7181.7,747.6,2832.4,248.1,2178.7,2300.6,630.7,203.5
"1991-07-01",242.2,1643.9,937.2,1485.3,12400.7,1544.6,1550,672.3,341.3,5266,2970.5,539.4,1242.2,397.3,5214.6,2505,1100.5,1463,1613.1,2815.9,2090.3,512,3885.9,2144.7,2312.1,940.1,304.2,3077.1,271,744.7,476.9,3485.9,587.2,628.6,7838.5,4822.7,1223.3,1252.8,5066.5,421.4,1490,297.7,2182.7,7169.6,749.8,2820.7,249.6,2186.4,2302.3,630.7,202.5
"1991-08-01",242.1,1648.2,940.3,1486.8,12384,1542.2,1546.2,677.3,337.9,5272.8,2968.2,540.4,1240.8,398.8,5207.3,2512.4,1102.8,1467.2,1611.4,2809.9,2091,511.5,3872.9,2149.3,2317.2,933.7,305.4,3079,271.2,745,479.1,3481.2,587.3,627.9,7831.7,4817.1,1223.7,1254,5069.7,420.4,1488.5,296.7,2191.3,7164.3,751.7,2822.3,249.7,2186.6,2306,629.6,203.4
"1991-09-01",242.2,1650.8,942.3,1488.5,12376.4,1549,1545,677.4,339.5,5265,2970.4,540.9,1242.9,400.7,5214.7,2512.5,1102.5,1468,1614.1,2803.2,2099.6,511.3,3883.4,2150.4,2317.3,945.1,306.7,3084.9,273.1,746.6,479.5,3476.6,589,630.5,7816.4,4826.5,1226.7,1255.9,5072.5,418.5,1490.7,297,2197.8,7209,753.1,2826.5,249.1,2191.6,2304,630.9,203.9
"1991-10-01",242.3,1651.2,946.4,1495.8,12375.7,1553.9,1544,674.3,342.3,5261.5,2970.6,541.5,1241.4,401.1,5220.3,2515.4,1103.9,1471.4,1616.7,2801.1,2091.7,509.3,3893.4,2154.6,2314.4,946.8,307.5,3092.8,272.5,741.9,481.9,3471.3,586.5,629.3,7812,4819.5,1227.2,1261.1,5071.9,418.1,1493.8,297.7,2201.6,7197.7,754.3,2826.9,249.3,2197.4,2313.8,630.4,204.6
"1991-11-01",243.7,1650,945.2,1498.4,12335.6,1559,1541.1,676,341,5268.1,2975.4,542.4,1240.1,403.3,5214.1,2514.7,1104.2,1477.9,1615.8,2797.4,2095.1,509.8,3894.6,2148.5,2313.9,947.7,308.7,3089.8,272.6,740,482.9,3473.3,587.5,626.1,7803.6,4822.5,1228.2,1257.3,5075.3,418.1,1501.2,298.5,2202.6,7206.1,755.9,2827.5,249.4,2195.9,2313.3,630.8,203.6
"1991-12-01",245.5,1650.1,947.4,1500.5,12307,1563.4,1539.2,674.2,339.7,5263.1,2979.7,542.4,1242.3,403.1,5204.1,2516.1,1105.4,1479.4,1613.7,2796.3,2088.6,507.6,3892.7,2158.3,2319.4,947.8,310.5,3092.4,272.8,742.8,482.5,3470.8,589.4,629,7776.5,4817.2,1229.1,1258.8,5070.8,416.2,1497.3,299.7,2199.3,7211.4,755.3,2829.7,249.7,2198.9,2315.8,630.9,203.9
"1992-01-01",244.9,1655.3,951.4,1500.8,12275.6,1568.3,1533.5,675,340.6,5285.5,2992.1,542.4,1244.6,407.5,5215.5,2523.8,1110.9,1482.9,1617.3,2794.6,2085,510.1,3874.7,2169.6,2318.2,950.3,312.7,3107.9,274.6,747.4,483.6,3460.3,591.1,628.7,7756,4821.9,1231.5,1263.1,5075.9,422.3,1500.9,303.3,2211.2,7202.9,758.3,2834.1,248.4,2211.1,2331.6,635,204.8
"1992-02-01",246.3,1656.4,953,1500.9,12244.3,1571.8,1528.4,673.8,338.8,5279.4,2993,542.7,1248.3,408.9,5210.7,2526.6,1110.4,1487,1614.4,2795.3,2082.3,509.2,3892.1,2170.2,2320.4,951.8,312.7,3109.1,274.6,748,482.6,3459.5,592,629.8,7743.7,4826.1,1227.9,1263.8,5069.9,423.1,1501.3,304.5,2212.5,7215.9,760.6,2835,249.9,2214.6,2330.2,635.2,204.8
"1992-03-01",246.8,1659.6,955.4,1500.3,12264.7,1575.9,1527.4,674.3,338.4,5315.6,3005.2,543.5,1248.9,409.9,5206.4,2527.8,1109.7,1488.5,1615.7,2794.9,2078.7,508.6,3894,2174.8,2321.1,952.3,313.7,3114.9,275.4,747.9,483.2,3450.7,593.7,630.6,7731.1,4827.8,1227.1,1264.9,5065.2,423.3,1503,304.5,2236.8,7224.9,762.4,2834.1,249.9,2218.7,2330.6,636.1,205.1
