date,gdpc1
1/1/1947,1934.5
4/1/1947,1932.3
7/1/1947,1930.3
10/1/1947,1960.7
1/1/1948,1989.5
4/1/1948,2021.9
7/1/1948,2033.2
10/1/1948,2035.3
1/1/1949,2007.5
4/1/1949,2000.8
7/1/1949,2022.8
10/1/1949,2004.7
1/1/1950,2084.6
4/1/1950,2147.6
7/1/1950,2230.4
10/1/1950,2273.4
1/1/1951,2304.5
4/1/1951,2344.5
7/1/1951,2392.8
10/1/1951,2398.1
1/1/1952,2423.5
4/1/1952,2428.5
7/1/1952,2446.1
10/1/1952,2526.4
1/1/1953,2573.4
4/1/1953,2593.5
7/1/1953,2578.9
10/1/1953,2539.8
1/1/1954,2528
4/1/1954,2530.7
7/1/1954,2559.4
10/1/1954,2609.3
1/1/1955,2683.8
4/1/1955,2727.5
7/1/1955,2764.1
10/1/1955,2780.8
1/1/1956,2770
4/1/1956,2792.9
7/1/1956,2790.6
10/1/1956,2836.2
1/1/1957,2854.5
4/1/1957,2848.2
7/1/1957,2875.9
10/1/1957,2846.4
1/1/1958,2772.7
4/1/1958,2790.9
7/1/1958,2855.5
10/1/1958,2922.3
1/1/1959,2976.6
4/1/1959,3049
7/1/1959,3043.1
10/1/1959,3055.1
1/1/1960,3123.2
4/1/1960,3111.3
7/1/1960,3119.1
10/1/1960,3081.3
1/1/1961,3102.3
4/1/1961,3159.9
7/1/1961,3212.6
10/1/1961,3277.7
1/1/1962,3336.8
4/1/1962,3372.7
7/1/1962,3404.8
10/1/1962,3418
1/1/1963,3456.1
4/1/1963,3501.1
7/1/1963,3569.5
10/1/1963,3595
1/1/1964,3672.7
4/1/1964,3716.4
7/1/1964,3766.9
10/1/1964,3780.2
1/1/1965,3873.5
4/1/1965,3926.4
7/1/1965,4006.2
10/1/1965,4100.6
1/1/1966,4201.9
4/1/1966,4219.1
7/1/1966,4249.2
10/1/1966,4285.6
1/1/1967,4324.9
4/1/1967,4328.7
7/1/1967,4366.1
10/1/1967,4401.2
1/1/1968,4490.6
4/1/1968,4566.4
7/1/1968,4599.3
10/1/1968,4619.8
1/1/1969,4691.6
4/1/1969,4706.7
7/1/1969,4736.1
10/1/1969,4715.5
1/1/1970,4707.1
4/1/1970,4715.4
7/1/1970,4757.2
10/1/1970,4708.3
1/1/1971,4834.3
4/1/1971,4861.9
7/1/1971,4900
10/1/1971,4914.3
1/1/1972,5002.4
4/1/1972,5118.3
7/1/1972,5165.4
10/1/1972,5251.2
1/1/1973,5380.5
4/1/1973,5441.5
7/1/1973,5411.9
10/1/1973,5462.4
