date,unrate,unlevel
1/1/2001,4.2,6023
2/1/2001,4.2,6089
3/1/2001,4.3,6141
4/1/2001,4.4,6271
5/1/2001,4.3,6226
6/1/2001,4.5,6484
7/1/2001,4.6,6583
8/1/2001,4.9,7042
9/1/2001,5,7142
10/1/2001,5.3,7694
11/1/2001,5.5,8003
12/1/2001,5.7,8258
1/1/2002,5.7,8182
2/1/2002,5.7,8215
3/1/2002,5.7,8304
4/1/2002,5.9,8599
5/1/2002,5.8,8399
6/1/2002,5.8,8393
7/1/2002,5.8,8390
8/1/2002,5.7,8304
9/1/2002,5.7,8251
10/1/2002,5.7,8307
11/1/2002,5.9,8520
12/1/2002,6,8640
1/1/2003,5.8,8520
2/1/2003,5.9,8618
3/1/2003,5.9,8588
4/1/2003,6,8842
5/1/2003,6.1,8957
6/1/2003,6.3,9266
7/1/2003,6.2,9011
8/1/2003,6.1,8896
9/1/2003,6.1,8921
10/1/2003,6,8732
11/1/2003,5.8,8576
12/1/2003,5.7,8317
1/1/2004,5.7,8370
2/1/2004,5.6,8167
3/1/2004,5.8,8491
4/1/2004,5.6,8170
5/1/2004,5.6,8212
6/1/2004,5.6,8286
7/1/2004,5.5,8136
8/1/2004,5.4,7990
9/1/2004,5.4,7927
10/1/2004,5.5,8061
11/1/2004,5.4,7932
12/1/2004,5.4,7934
1/1/2005,5.3,7784
2/1/2005,5.4,7980
3/1/2005,5.2,7737
4/1/2005,5.2,7672
5/1/2005,5.1,7651
6/1/2005,5,7524
7/1/2005,5,7406
8/1/2005,4.9,7345
9/1/2005,5,7553
10/1/2005,5,7453
11/1/2005,5,7566
12/1/2005,4.9,7279
1/1/2006,4.7,7064
2/1/2006,4.8,7184
3/1/2006,4.7,7072
4/1/2006,4.7,7120
5/1/2006,4.6,6980
6/1/2006,4.6,7001
7/1/2006,4.7,7175
8/1/2006,4.7,7091
9/1/2006,4.5,6847
10/1/2006,4.4,6727
11/1/2006,4.5,6872
12/1/2006,4.4,6762
1/1/2007,4.6,7116
2/1/2007,4.5,6927
3/1/2007,4.4,6731
4/1/2007,4.5,6850
5/1/2007,4.4,6766
6/1/2007,4.6,6979
7/1/2007,4.7,7149
8/1/2007,4.6,7067
9/1/2007,4.7,7170
10/1/2007,4.7,7237
11/1/2007,4.7,7240
12/1/2007,5,7645
1/1/2008,5,7685
2/1/2008,4.9,7497
3/1/2008,5.1,7822
4/1/2008,5,7637
5/1/2008,5.4,8395
6/1/2008,5.6,8575
7/1/2008,5.8,8937
8/1/2008,6.1,9438
9/1/2008,6.1,9494
10/1/2008,6.5,10074
11/1/2008,6.8,10538
12/1/2008,7.3,11286
1/1/2009,7.8,12058
2/1/2009,8.3,12898
3/1/2009,8.7,13426
4/1/2009,9,13853
5/1/2009,9.4,14499
6/1/2009,9.5,14707
7/1/2009,9.5,14601
8/1/2009,9.6,14814
9/1/2009,9.8,15009
10/1/2009,10,15352
11/1/2009,9.9,15219
12/1/2009,9.9,15098
1/1/2010,9.8,15046
2/1/2010,9.8,15113
3/1/2010,9.9,15202
4/1/2010,9.9,15325
5/1/2010,9.6,14849
6/1/2010,9.4,14474
7/1/2010,9.4,14512
8/1/2010,9.5,14648
9/1/2010,9.5,14579
10/1/2010,9.4,14516
11/1/2010,9.8,15081
12/1/2010,9.3,14348
1/1/2011,9.1,14013
2/1/2011,9,13820
3/1/2011,9,13737
4/1/2011,9.1,13957
5/1/2011,9,13855
6/1/2011,9.1,13962
7/1/2011,9,13763
8/1/2011,9,13818
9/1/2011,9,13948
10/1/2011,8.8,13594
11/1/2011,8.6,13302
12/1/2011,8.5,13093
1/1/2012,8.3,12797
2/1/2012,8.3,12813
3/1/2012,8.2,12713
4/1/2012,8.2,12646
5/1/2012,8.2,12660
6/1/2012,8.2,12692
7/1/2012,8.2,12656
8/1/2012,8.1,12471
9/1/2012,7.8,12115
10/1/2012,7.8,12124
11/1/2012,7.7,12005
12/1/2012,7.9,12298
1/1/2013,8,12470
2/1/2013,7.7,11954
3/1/2013,7.5,11672
4/1/2013,7.6,11752
5/1/2013,7.5,11657
6/1/2013,7.5,11741
7/1/2013,7.3,11350
8/1/2013,7.3,11284
9/1/2013,7.2,11264
10/1/2013,7.2,11133
11/1/2013,6.9,10792
12/1/2013,6.7,10410
1/1/2014,6.6,10240
2/1/2014,6.7,10383
3/1/2014,6.7,10400
4/1/2014,6.2,9705
5/1/2014,6.3,9740
6/1/2014,6.1,9460
7/1/2014,6.2,9637
8/1/2014,6.2,9616
9/1/2014,5.9,9255
10/1/2014,5.7,8964
11/1/2014,5.8,9060
12/1/2014,5.6,8718
1/1/2015,5.7,8962
2/1/2015,5.5,8663
3/1/2015,5.4,8538
4/1/2015,5.4,8521
5/1/2015,5.5,8655
6/1/2015,5.3,8251
7/1/2015,5.2,8235
8/1/2015,5.1,8017
9/1/2015,5,7877
10/1/2015,5,7869
11/1/2015,5,7939
12/1/2015,5,7927
1/1/2016,4.9,7829
2/1/2016,4.9,7845
3/1/2016,5,7977
4/1/2016,5,7910
5/1/2016,4.7,7451
6/1/2016,4.9,7799
7/1/2016,4.9,7749
8/1/2016,4.9,7853
9/1/2016,4.9,7904
10/1/2016,4.8,7740
11/1/2016,4.6,7409
12/1/2016,4.7,7529
,,7635
