state_name,state_code,dem_votes_2016,rep_votes_2016
Alabama,AL,729547,1318255
Alaska,AK,116454,163387
Arizona,AZ,1161167,1252401
Arkansas,AR,380494,684872
California,CA,8753788,4483810
Colorado,CO,1338870,1202484
Connecticut,CT,897572,673215
Delaware,DE,235603,185127
District of Columbia,DC,282830,12723
Florida,FL,4504975,4617886
Georgia,GA,1877963,2089104
Hawaii,HI,266891,128847
Idaho,ID,189765,409055
Illinois,IL,3090729,2146015
Indiana,IN,1033126,1557286
Iowa,IA,653669,800983
Kansas,KS,427005,671018
Kentucky,KY,628854,1202971
Louisiana,LA,780154,1178638
Maine,ME,357735,335593
Maryland,MD,1677928,943169
Massachusetts,MA,1995196,1090893
Michigan,MI,2268839,2279543
Minnesota,MN,1367716,1322951
Mississippi,MS,485131,700714
Missouri,MO,1071068,1594511
Montana,MT,177709,279240
Nebraska,NE,284494,495961
Nevada,NV,539260,512058
New Hampshire,NH,348526,345790
New Jersey,NJ,2148278,1601933
New Mexico,NM,385234,319667
New York,NY,4547562,2814589
North Carolina,NC,2189316,2362631
North Dakota,ND,93758,216794
Ohio,OH,2394164,2841005
Oklahoma,OK,420375,949136
Oregon,OR,1002106,782403
Pennsylvania,PA,2926441,2970733
Rhode Island,RI,252525,180543
South Carolina,SC,855373,1155389
South Dakota,SD,117458,227721
Tennessee,TN,870695,1522925
Texas,TX,3877868,4685047
Utah,UT,310674,515211
Vermont,VT,178573,95369
Virginia,VA,1981473,1769443
Washington,WA,1742718,1221747
West Virginia,WV,188794,489371
Wisconsin,WI,1382536,1405284
Wyoming,WY,55973,174419
U.S. Total,US,65844954,62979879
