county,trump_count,trump_frac,clinton_count,clinton_frac,obama2_frac,obama2_count,romney_frac,romney_count,obama_frac,obama_count,mccain_frac,mccain_count,kerry_frac,kerry_count,wbush2_frac,wbush2_count,wbush_frac,wbush_count,gore_frac,gore_count
Adams,8445,76.07,2293,20.65,0.3586,3976,0.6195,6865,0.366,4170,0.607,6914,0.357,4280,0.638,7653,0.6234,6380,0.3499,3581
Allen,29858,66.78,12815,28.66,0.3714,17914,0.6119,29502,0.388,19521,0.596,29941,0.335,16483,0.661,32585,0.6541,28647,0.3196,13996
Ashland,17169,71.08,5659,23.43,0.3404,8281,0.6383,15519,0.37,9300,0.602,15158,0.343,8555,0.649,16171,0.6366,13533,0.3145,6685
Ashtabula,22755,57.08,15191,38.11,0.5527,23803,0.4252,18298,0.558,25027,0.422,18949,0.53,24061,0.463,21039,0.4545,17940,0.5024,19831
Athens,10816,38.69,15552,55.64,0.6624,18307,0.3093,8543,0.666,20722,0.313,9742,0.632,18997,0.361,10847,0.3813,9703,0.5171,13158
Auglaize,18130,79.28,3825,16.73,0.2491,5831,0.7338,17169,0.286,6727,0.698,16395,0.256,5904,0.739,17012,0.6922,13770,0.2797,5564
Belmont,20729,67.79,8652,28.3,0.4485,14156,0.5311,16758,0.503,16302,0.476,15422,0.527,17574,0.468,15589,0.4189,12625,0.5302,15980
Brown,14257,74.31,4270,22.25,0.3665,7107,0.6149,11916,0.373,7503,0.606,12192,0.359,7140,0.636,12647,0.6103,10027,0.3635,5972
Butler,104441,61.77,56700,33.53,0.3666,62388,0.6182,105176,0.38,66030,0.606,105340,0.337,56234,0.659,109866,0.6362,86587,0.3393,46390
Carroll,9067,70.59,3124,24.32,0.4162,5396,0.5536,7177,0.46,6423,0.509,7097,0.446,6298,0.545,7695,0.5491,6732,0.4045,4960
Champaign,12314,69.8,4488,25.44,0.391,7826,0.5921,11852,0.391,7385,0.59,11141,0.371,6967,0.624,11718,0.588,9220,0.3798,5955
Clark,34311,57.43,22666,37.94,0.4832,30022,0.5008,31116,0.479,31958,0.504,33634,0.487,33534,0.508,34938,0.4806,27660,0.4862,27984
Clermont,65960,68.17,26096,26.97,0.3141,29334,0.6695,62527,0.331,31611,0.655,62559,0.291,25885,0.707,62946,0.6745,47129,0.2995,20927
Clinton,13466,74.21,3943,21.73,0.3136,5534,0.6652,11740,0.34,6558,0.643,12410,0.294,5417,0.703,12938,0.6519,9824,0.3179,4791
Columbiana,31086,68.47,12273,27.03,0.4293,19351,0.5497,24778,0.451,21882,0.528,25585,0.474,23426,0.521,25754,0.4908,21804,0.465,20657
Coshocton,10381,69.17,3908,26.04,0.4398,6841,0.5344,8312,0.456,7689,0.514,8675,0.423,6878,0.571,9277,0.5777,8243,0.3921,5594
Crawford,13265,70.75,4518,24.1,0.3755,7207,0.6024,11561,0.391,8288,0.582,12316,0.357,7773,0.637,13885,0.6084,11666,0.3505,6721
Cuyahoga,179894,30.78,383974,65.7,0.6932,447273,0.2955,190660,0.689,458204,0.3,199864,0.666,448486,0.329,221606,0.3342,192099,0.6262,359913
Darke,19698,78.53,4395,17.52,0.2665,6610,0.7153,17745,0.309,7964,0.67,17290,0.298,7849,0.696,18307,0.6368,14817,0.3327,7741
Defiance,11478,64.24,5282,29.56,0.4192,7438,0.5599,9935,0.438,8399,0.542,10407,0.377,6975,0.615,11393,0.5874,9540,0.3802,6175
Delaware,55660,55.46,39584,39.44,0.375,36117,0.6123,58966,0.397,36653,0.593,54778,0.336,27048,0.661,53142,0.6613,36639,0.3093,17134
Erie,19301,52.46,15692,42.65,0.548,20969,0.4353,16655,0.561,23148,0.423,17432,0.534,21408,0.464,18601,0.4599,16105,0.5064,17732
Fairfield,43163,60.9,24150,34.07,0.4114,28831,0.5727,40134,0.407,29250,0.578,41580,0.365,24774,0.629,42697,0.6197,33523,0.3524,19065
Fayette,7763,71.6,2672,24.64,0.3817,4075,0.6047,6456,0.376,4401,0.607,7102,0.369,4334,0.627,7375,0.6127,5685,0.3625,3363
Franklin,199331,33.93,351198,59.78,0.6011,325654,0.3838,207941,0.597,334684,0.39,218478,0.544,285800,0.451,237252,0.4778,197862,0.4879,202018
Fulton,13419,64.49,5981,28.74,0.4235,8790,0.555,11521,0.451,9900,0.532,11689,0.375,8224,0.621,13639,0.611,11546,0.3601,6805
Gallia,9567,75.91,2564,20.34,0.3599,4427,0.6175,7596,0.359,4777,0.619,8247,0.383,5364,0.613,8577,0.5879,7511,0.3813,4872
Geauga,29577,60.59,17165,35.16,0.3849,19295,0.6006,30104,0.416,21250,0.569,29096,0.394,19840,0.602,30358,0.5966,25417,0.3598,15327
Greene,47506,59.63,28023,35.17,0.3827,31028,0.6005,48683,0.401,33540,0.585,48936,0.385,30530,0.61,48377,0.582,37946,0.3843,25059
Guernsey,11164,69.02,4286,26.5,0.4405,7226,0.5372,8811,0.44,7625,0.531,9197,0.435,7768,0.558,9961,0.5302,8181,0.4305,6643
Hamilton,169972,42.86,207587,52.35,0.525,219927,0.4615,193326,0.53,224644,0.46,195107,0.471,199499,0.525,222404,0.5403,204175,0.4276,161578
Hancock,23777,67.21,9419,26.63,0.3489,12192,0.6319,22077,0.376,13870,0.608,22420,0.29,10343,0.705,25101,0.6854,20985,0.2874,8798
Hardin,8541,70.9,2870,23.82,0.3694,4487,0.604,7337,0.382,5013,0.591,7749,0.365,4889,0.63,8436,0.5903,7124,0.3776,4557
Harrison,5021,72.07,1663,23.87,0.4136,2895,0.5624,3936,0.473,3683,0.497,3872,0.466,3780,0.527,4274,0.4772,3417,0.468,3351
Henry,9136,66.83,3690,26.99,0.3956,5513,0.582,8111,0.426,6320,0.555,8239,0.338,5110,0.656,9901,0.6437,8530,0.3295,4367
Highland,13005,76.12,3436,20.11,0.3363,5772,0.6429,11032,0.357,6857,0.621,11908,0.335,6194,0.661,12212,0.6298,9728,0.3449,5328
Hocking,8282,66.05,3713,29.61,0.483,6010,0.4943,6150,0.483,6231,0.491,6326,0.468,6173,0.526,6935,0.5301,5702,0.416,4474
Holmes,8578,78.85,1766,16.23,0.2262,2568,0.7541,8563,0.283,3141,0.695,7720,0.24,2695,0.755,8466,0.7385,6754,0.2259,2066
Huron,15930,65.32,7080,29.03,0.4433,10673,0.5325,12821,0.472,12076,0.504,12884,0.414,10585,0.58,14834,0.5752,12286,0.3831,8183
Jackson,9618,72.65,3142,23.73,0.3844,4965,0.5924,7651,0.386,5397,0.587,8219,0.398,5699,0.599,8585,0.5571,6958,0.4108,5131
Jefferson,20668,65.58,9483,30.09,0.4628,14960,0.5175,16729,0.491,17635,0.489,17559,0.523,19019,0.473,17184,0.4342,15038,50.49,17488
Knox,18563,66.67,7959,28.59,0.3677,10154,0.6109,16873,0.39,11014,0.589,16640,0.363,9828,0.631,17081,0.63,13393,0.3355,7133
Lake,62627,55.4,45056,39.86,0.4833,55219,0.5002,57150,0.496,60155,0.487,59142,0.485,59049,0.511,62193,0.5045,51747,0.4533,46497
Lawrence,18240,70.15,6849,26.34,0.414,10454,0.5691,14371,0.414,11262,0.567,15415,0.437,12111,0.558,15457,0.5125,12531,0.4624,11307
Licking,49346,61.88,26360,33.05,0.4167,32264,0.5632,43604,0.412,33896,0.57,46886,0.378,30051,0.617,49014,0.5952,37180,0.3713,23196
Logan,15586,74,4537,21.54,0.3306,6789,0.6488,13323,0.357,7936,0.623,13848,0.319,6825,0.676,14471,0.642,11849,0.3221,5945
Lorain,66818,47.24,66949,47.34,0.5639,78115,0.4194,58095,0.581,85276,0.402,59068,0.561,78965,0.435,61196,0.4275,47957,0.5332,59809
Lucas,74102,38.56,107363,55.87,0.6434,129229,0.3391,68100,0.65,142852,0.335,73706,0.602,132536,0.396,87106,0.3915,73342,0.5783,108344
Madison,11319,67.24,4662,27.69,0.3886,6700,0.5925,10215,0.374,6532,0.608,10603,0.356,6200,0.639,11120,0.6063,8892,0.3605,5287
Mahoning,52808,46.74,56188,49.73,0.632,74346,0.3546,41712,0.622,79173,0.356,45319,0.626,83069,0.367,48712,0.3545,40460,0.6065,69212
Marion,16563,64.45,7748,30.15,0.4514,11933,0.5273,13938,0.444,12870,0.533,15454,0.408,11930,0.587,17171,0.5487,13617,0.4179,10370
Medina,53811,60.03,31582,35.23,0.4259,37841,0.5567,49464,0.452,40924,0.533,48189,0.427,36264,0.568,48183,0.5584,37349,0.3982,26635
Meigs,6869,72.94,2157,22.91,0.3919,3911,0.5794,5782,0.395,4094,0.581,6015,0.412,4437,0.582,6273,0.587,5750,0.3751,3674
Mercer,17200,80.54,3335,15.62,0.2178,4609,0.7659,16207,0.275,5853,0.71,15100,0.245,5117,0.749,15649,0.6825,12485,0.2849,5212
Miami,36311,70.34,12832,24.86,0.3129,15731,0.6692,33650,0.348,18372,0.633,33417,0.34,17611,0.657,34005,0.6078,26037,0.3638,15584
Monroe,4781,71.48,1647,24.62,0.4459,3007,0.525,3540,0.531,3705,0.439,3066,0.549,4243,0.443,3424,0.442,3145,0.5067,3605
Montgomery,120766,48.25,117661,47.01,0.5073,128983,0.4766,121188,0.525,145997,0.463,128679,0.506,142977,0.49,138361,0.4753,109792,0.4961,114597
Morgan,4315,68.52,1711,27.17,0.4588,2772,0.519,3136,0.449,2966,0.521,3440,0.429,2873,0.561,3757,0.5758,3451,0.3773,2261
Morrow,11722,72.12,3711,22.83,0.3655,5780,0.611,9662,0.371,6177,0.605,10067,0.354,5775,0.641,10475,0.6108,7842,0.3528,4529
Muskingum,23588,65.02,10926,30.12,0.4541,16327,0.5236,18826,0.454,17730,0.526,20549,0.423,16421,0.573,22251,0.5516,17995,0.4112,13415
Noble,4441,75.54,1201,20.43,0.3618,2082,0.6078,3498,0.401,2474,0.559,3450,0.406,2654,0.587,3841,0.5736,3435,0.3834,2296
Ottawa,12389,56.89,8136,37.36,0.5112,11214,0.4706,10323,0.522,12049,0.46,10618,0.478,11114,0.519,12075,0.4966,9917,0.475,9485
Paulding,6359,71.76,2068,23.34,0.3854,3435,0.5889,5248,0.426,4165,0.544,5317,0.365,3610,0.628,6205,0.5824,5210,0.3783,3384
Perry,9978,68.06,4072,27.78,0.4673,6857,0.511,7498,0.471,7261,0.501,7721,0.478,7257,0.517,7855,0.502,6440,0.4595,5895
Pickaway,16482,68.96,6325,26.46,0.3982,9335,0.585,13713,0.383,9077,0.6,14228,0.375,8578,0.62,14160,0.6041,10717,0.3719,6598
Pike,7669,66.53,3443,29.87,0.4887,5490,0.4927,5535,0.482,6033,0.493,6162,0.476,5989,0.518,6519,0.505,5333,0.4662,4923
Portage,38978,52.62,31463,42.48,0.5144,38082,0.4656,34465,0.535,41856,0.445,34822,0.531,40674,0.464,35583,0.4495,28271,0.4999,31446
Preble,15376,75.05,4323,21.1,0.3061,6005,0.6729,13202,0.333,6999,0.646,13562,0.344,7274,0.65,13733,0.6152,11176,0.3509,6375
Putnam,14704,79.73,2874,15.58,0.2338,4238,0.7483,13563,0.283,5281,0.7,13072,0.233,4392,0.762,14370,0.7401,12837,0.2343,4063
Richland,35805,66.44,15629,29,0.3893,21785,0.5908,33057,0.421,25727,0.557,34034,0.398,24645,0.596,36892,0.571,30138,0.3898,20572
Ross,17833,61.45,9905,34.13,0.4798,13895,0.5035,14582,0.454,14455,0.526,16759,0.441,13977,0.544,17229,0.5268,13706,0.4483,11662
Sandusky,16045,58.29,9733,35.36,0.4978,14035,0.4785,13491,0.514,15601,0.467,14190,0.437,12653,0.559,16198,0.5321,13699,0.433,11146
Scioto,19742,66.61,8841,29.83,0.4807,14432,0.5004,15023,0.458,14926,0.522,16994,0.478,16823,0.519,18257,0.5017,15022,0.4674,13997
Seneca,14559,61.86,7237,30.75,0.445,10962,0.5288,13025,0.477,13087,0.504,13823,0.406,10958,0.589,15885,0.5693,13863,0.3906,9512
Shelby,18148,78.39,4143,17.89,0.2622,6065,0.722,16700,0.309,7317,0.673,15924,0.286,6534,0.709,16204,0.6343,12476,0.3352,6593
Stark,96345,56.22,66581,38.85,0.4928,89423,0.4881,88581,0.517,96990,0.463,86743,0.506,95338,0.489,92211,0.4889,78153,0.4711,75308
Summit,109531,43.68,129922,51.81,0.5673,147146,0.4191,108700,0.576,155105,0.411,110499,0.567,156578,0.429,118553,0.4302,96721,0.5326,119759
Trumbull,48152,51.12,42130,44.73,0.6023,59446,0.3804,37545,0.6,64145,0.376,40164,0.617,66673,0.379,40976,0.3601,34654,0.599,57643
Tuscarawas,26105,65.07,11895,29.65,0.4395,17516,0.5374,21420,0.501,21498,0.476,20454,0.439,18854,0.555,23825,0.5267,19549,0.4278,15879
Union,17601,65.94,7530,28.21,0.3426,8546,0.6392,15947,0.351,8761,0.632,15744,0.295,6665,0.701,15869,0.6756,11502,0.2961,5040
Van Wert,10328,76.03,2667,19.63,0.3163,1762,0.6683,3723,0.353,5178,0.626,9168,0.276,4094,0.72,10678,0.6566,8679,0.3184,4209
Vinton,3799,70.4,1332,24.68,0.4451,2382,0.5228,2798,0.436,2463,0.535,3021,0.447,2651,0.548,3251,0.5499,2720,0.4118,2037
Warren,75947,66.15,33036,28.77,0.2954,31907,0.6909,74626,0.314,33398,0.675,71691,0.276,26043,0.721,68035,0.6995,48318,0.2771,19142
Washington,19901,68.61,7841,27.03,0.3667,7049,0.6134,11792,0.413,12368,0.569,17019,0.414,12475,0.581,17480,0.5786,15342,0.3916,10383
Wayne,31622,64.82,14670,30.07,0.3836,18932,0.5967,29450,0.416,21712,0.563,29342,0.382,19786,0.615,31879,0.6104,25901,0.3483,14779
Williams,11706,68.92,4287,25.24,0.4076,7045,0.5706,9863,0.444,8174,0.537,9880,0.348,6481,0.646,12040,0.6245,9941,0.3426,5454
Wood,31734,50.78,26440,42.31,0.5099,31596,0.4679,28997,0.527,34285,0.456,29648,0.464,29401,0.53,33592,0.527,27504,0.4347,22687
Wyandot,7346,70.5,2484,23.84,0.3864,3962,0.5904,6054,0.406,4461,0.571,6270,0.336,3707,0.657,7256,0.6221,6113,0.3457,3397
