date,Pfizer,Exxon,Apple,Ford,JPMorgan
12/30/2016,32.48,90.26,115.82,12.13,86.29
12/29/2016,32.49,90.35,116.73,12.23,85.89
12/28/2016,32.35,90.3,116.76,12.25,86.5
12/27/2016,32.53,90.75,117.26,12.39,87.13
12/23/2016,32.48,90.71,116.52,12.46,87.05
12/22/2016,32.34,90.87,116.29,12.4,86.89
12/21/2016,32.4,90.28,117.06,12.64,86.75
12/20/2016,32.85,90.43,116.95,12.78,86.53
12/19/2016,32.83,90.42,116.64,12.66,85.43
12/16/2016,32.84,91.18,115.97,12.63,84.94
12/15/2016,32.75,90.89,115.82,12.58,86
12/14/2016,32.82,90.58,115.19,12.53,84.73
12/13/2016,32.83,92.58,115.19,12.77,84.76
12/12/2016,32.4,90.98,113.3,12.82,84.73
12/9/2016,31.7,89,113.95,13.17,85.49
12/8/2016,30.94,88.32,112.12,13.03,85.12
12/7/2016,31.19,88.07,111.03,13.06,84.07
12/6/2016,31.56,87.56,109.95,12.56,83.69
12/5/2016,31.59,87.48,109.11,12.44,83.26
12/2/2016,31.63,87.04,109.9,12.24,81.6
12/1/2016,31.46,87.24,109.49,12.43,81.79
11/30/2016,32.14,87.3,110.52,11.96,80.17
11/29/2016,31.92,85.9,111.46,11.92,78.92
11/28/2016,31.54,86.47,111.57,11.92,78.32
11/25/2016,31.69,87.12,111.79,12.04,78.83
11/23/2016,31.42,86.92,111.23,11.9,78.86
11/22/2016,31.33,86.68,111.8,11.89,78.53
11/21/2016,31.57,86.49,111.73,11.79,78.05
11/18/2016,31.48,85.28,110.06,11.76,77.71
11/17/2016,31.73,85.23,109.95,11.87,78.02
11/16/2016,31.96,85.75,109.99,12,77.4
11/15/2016,32.23,86.82,107.11,12.04,79.36
11/14/2016,32.38,85.28,105.71,12.06,79.51
11/11/2016,32.59,85.67,108.43,12.28,76.69
11/10/2016,33.49,87.05,107.79,11.94,76.65
11/9/2016,32.12,86.25,110.88,11.58,73.25
11/8/2016,30,85.31,111.06,11.48,70.03
11/7/2016,30.38,85.45,110.41,11.58,69.88
11/4/2016,30,83.57,108.84,11.34,67.76
11/3/2016,29.89,83.66,109.83,11.35,68.38
11/2/2016,30.63,83.45,111.59,11.4,68.68
11/1/2016,31.07,83.65,111.49,11.61,68.97
10/31/2016,31.71,83.32,113.54,11.74,69.26
10/28/2016,31.93,84.78,113.72,11.72,69.11
10/27/2016,32.48,86.92,114.48,11.74,69.23
10/26/2016,32.4,87.09,115.59,11.88,69.13
10/25/2016,32.28,86.72,118.25,11.85,68.8
10/24/2016,32.13,86.91,117.65,12.19,68.87
10/21/2016,32.18,86.62,116.6,12.02,68.49
10/20/2016,32.54,87.21,117.06,11.97,68.26
10/19/2016,32.6,87.17,117.12,12.01,68.35
10/18/2016,32.69,86.77,117.47,11.89,67.7
10/17/2016,32.5,86.54,117.55,11.88,67.17
10/14/2016,32.66,86.54,117.63,11.91,67.52
10/13/2016,32.76,86.56,116.98,11.91,67.74
10/12/2016,33.07,87.13,117.34,11.96,68.13
10/11/2016,33.13,87.74,116.3,11.99,68.31
10/10/2016,33.61,88.44,116.05,12.12,68.64
10/7/2016,33.56,86.74,114.06,12.29,68.11
10/6/2016,33.65,87.04,113.89,12.39,67.87
10/5/2016,33.9,87,113.05,12.48,67.69
10/4/2016,33.72,86.25,113,12.2,66.6
10/3/2016,33.68,87.05,112.52,12.1,66.51
9/30/2016,33.87,87.28,113.05,12.07,66.59
9/29/2016,33.32,86.46,112.18,11.97,65.65
9/28/2016,33.99,86.9,113.95,12.09,66.71
9/27/2016,33.83,83.24,113.09,11.98,66.36
9/26/2016,33.64,83.06,112.88,12.01,65.78
9/23/2016,34.26,83.45,112.71,12.17,67.25
9/22/2016,34.15,83.54,114.62,12.18,67.39
9/21/2016,34.28,83.3,113.55,12.09,66.84
9/20/2016,33.81,82.54,113.57,12,66.46
9/19/2016,33.65,83.83,113.58,12.11,66.19
9/16/2016,33.94,84.03,114.92,12.11,65.82
9/15/2016,34.14,85.08,115.57,12.11,66.64
9/14/2016,33.94,84.6,111.77,12.14,66.4
9/13/2016,34.04,85.21,107.95,12.38,66.53
9/12/2016,34.65,87.29,105.44,12.7,67.06
9/9/2016,34.1,86.84,103.13,12.38,66.65
9/8/2016,34.72,89.05,105.52,12.73,67.25
9/7/2016,34.84,88.24,108.36,12.7,67.16
9/6/2016,34.77,88.57,107.7,12.67,67.44
9/2/2016,34.77,87.42,107.73,12.5,67.49
9/1/2016,34.68,86.84,106.73,12.44,67.21
8/31/2016,34.8,87.14,106.1,12.6,67.5
8/30/2016,34.88,87.52,106,12.55,67.5
8/29/2016,35.11,87.84,106.82,12.47,66.95
8/26/2016,34.82,87.27,106.94,12.38,66.22
8/25/2016,34.77,87.46,107.57,12.47,66.07
8/24/2016,34.82,88.02,108.03,12.3,65.95
8/23/2016,35.09,87.72,108.85,12.42,65.77
8/22/2016,34.84,87.99,108.51,12.36,65.8
8/19/2016,34.98,87.8,109.36,12.39,65.86
8/18/2016,35.19,88.91,109.08,12.33,65.95
8/17/2016,35.14,88.11,109.22,12.39,65.89
8/16/2016,34.79,87.92,109.38,12.34,65.71
8/15/2016,35.11,87.81,109.48,12.43,65.72
8/12/2016,34.98,87.85,108.18,12.33,65.32
8/11/2016,35.15,86.72,107.93,12.31,65.46
8/10/2016,35.13,86.41,108,12.25,65.28
8/9/2016,35.08,88.7,108.81,12.31,65.87
8/8/2016,34.93,88.59,108.37,12.18,66.1
8/5/2016,35.44,87.56,107.48,12.19,66.3
8/4/2016,35.15,87.48,105.87,12.08,64.56
8/3/2016,35.29,87.49,105.79,12.13,64.66
8/2/2016,36.39,87.04,104.48,11.94,63.65
8/1/2016,37.31,85.86,106.05,12.48,63.8
7/29/2016,36.89,88.95,104.21,12.66,63.97
7/28/2016,36.67,90.2,104.34,12.71,64.1
7/27/2016,36.85,90.91,102.95,13.84,64.33
7/26/2016,36.83,91.53,96.67,13.86,64.13
7/25/2016,36.78,92.2,97.34,13.83,63.87
7/22/2016,36.74,94.01,98.66,13.84,64.04
7/21/2016,36.71,93.85,99.43,13.92,63.69
7/20/2016,36.68,93.93,99.96,13.74,63.93
7/19/2016,36.64,94.47,99.87,13.65,63.86
7/18/2016,36.64,94.82,99.83,13.65,63.96
7/15/2016,36.77,95.12,98.78,13.57,64.18
7/14/2016,36.92,94.95,98.79,13.59,64.12
7/13/2016,36.31,94.88,96.87,13.48,63.16
7/12/2016,36.24,94.95,97.42,13.45,63.2
7/11/2016,36.15,93.89,96.98,13.27,62.27
7/8/2016,36.12,93.54,96.68,13.09,61.83
7/7/2016,35.77,92.96,95.94,12.75,60.58
7/6/2016,35.86,94.09,95.53,12.57,60.19
7/5/2016,35.81,93.02,94.99,12.4,59.55
7/1/2016,35.57,93.84,95.89,12.72,61.26
6/30/2016,35.21,93.74,95.6,12.57,62.14
6/29/2016,35.01,92.46,94.4,12.55,61.2
6/28/2016,34.44,90.91,93.59,12.39,59.52
6/27/2016,33.8,88.86,92.04,12.16,57.61
6/24/2016,33.97,89.39,93.4,12.52,59.6
6/23/2016,34.59,91.8,96.1,13.4,64.05
6/22/2016,34.47,91.17,95.55,13.18,62.71
6/21/2016,34.75,91.53,95.91,13.22,62.95
6/20/2016,34.5,91.12,95.1,13.42,62.37
6/17/2016,34.22,90.72,95.33,13.26,62.28
6/16/2016,34.75,91.22,97.55,13.12,62.22
6/15/2016,34.79,90.16,97.14,13.01,61.97
6/14/2016,34.99,90.43,97.46,12.84,62.08
6/13/2016,34.74,90.59,97.34,12.98,63.27
6/10/2016,35.29,89.98,98.83,13.1,63.84
6/9/2016,35.31,90.67,99.65,13.26,64.75
6/8/2016,35.25,90.79,98.94,13.36,65.25
6/7/2016,34.84,90.71,99.03,13.38,65.06
6/6/2016,34.93,89.34,98.63,13.18,65.28
6/3/2016,34.69,88.37,97.92,13.04,64.64
6/2/2016,34.87,88.53,97.72,13.21,65.81
6/1/2016,34.75,89.24,98.46,13.11,65.69
5/31/2016,34.7,89.02,99.86,13.49,65.27
5/27/2016,34.61,90.01,100.35,13.45,65.43
5/26/2016,34.43,89.8,100.41,13.46,65.03
5/25/2016,34.35,90.26,99.62,13.52,65.52
5/24/2016,34.1,89.67,97.9,13.29,64.54
5/23/2016,33.67,89.6,96.43,13.13,63.46
5/20/2016,33.74,89.74,95.22,13.19,63.51
5/19/2016,33.38,90.11,94.2,13.09,63.39
5/18/2016,33.17,89.35,94.56,13.16,64.04
5/17/2016,33.03,89.53,93.49,13.14,61.66
5/16/2016,33.38,89.57,93.88,13.32,61.66
5/13/2016,33.19,88.66,90.52,13.22,61.2
5/12/2016,33.19,89.67,90.34,13.35,61.77
5/11/2016,33.16,88.81,92.51,13.32,61.81
5/10/2016,33.8,89.99,93.42,13.49,62.04
5/9/2016,33.82,88.57,92.79,13.32,61.21
5/6/2016,33.58,88.51,92.72,13.44,61.6
5/5/2016,33.57,88.04,93.24,13.32,61.24
5/4/2016,33.4,87.94,94.19,13.31,61.57
5/3/2016,33.7,88.11,95.18,13.43,62.56
5/2/2016,32.8,89.13,93.64,13.62,63.79
4/29/2016,32.71,88.4,93.74,13.56,63.2
4/28/2016,32.91,88.03,94.83,14.09,63.6
4/27/2016,33,88.46,97.82,13.66,64.11
4/26/2016,33.05,87.63,104.35,13.75,63.93
4/25/2016,33.21,87.33,105.08,13.58,63.6
4/22/2016,33.27,87.53,105.68,13.61,63.97
4/21/2016,33.24,86.79,105.97,13.65,63.6
4/20/2016,33.23,86.8,107.13,13.64,64.24
4/19/2016,32.89,86.21,106.91,13.44,63.32
4/18/2016,32.61,85.78,107.48,13.25,62.27
4/15/2016,32.5,84.97,109.85,12.94,61.87
4/14/2016,32.65,85.43,112.1,13.09,62.59
4/13/2016,32.54,84.83,112.04,13.06,61.79
4/12/2016,31.96,84.35,110.44,12.81,59.28
4/11/2016,31.89,83.32,109.02,12.66,58.2
4/8/2016,32.5,83.21,108.66,12.55,57.74
4/7/2016,32.76,82.37,108.54,12.52,57.32
4/6/2016,32.93,83.31,110.96,12.82,58.81
4/5/2016,31.36,82.21,109.81,12.77,58.36
4/4/2016,30.72,83.16,111.12,12.8,59.2
4/1/2016,30.04,82.96,109.99,13.1,59.87
3/31/2016,29.64,83.59,108.99,13.5,59.22
3/30/2016,30.07,84.52,109.56,13.35,59.71
3/29/2016,30.05,84.53,107.68,13.2,59.03
3/28/2016,29.78,84.22,105.19,13.09,59.4
3/24/2016,30.08,83.98,105.67,13.06,59.48
3/23/2016,30.19,83.75,106.13,13.26,59.94
3/22/2016,30.38,84.12,106.72,13.59,60.24
3/21/2016,30.07,83.62,105.91,13.66,60.46
3/18/2016,29.45,84.2,105.92,13.64,60.48
3/17/2016,29.34,84.1,105.8,13.47,58.75
3/16/2016,29.04,82.87,105.97,13.5,58.92
3/15/2016,29.54,82.82,104.58,13.23,59.2
3/14/2016,30.1,82.41,102.52,13.27,59.12
3/11/2016,30.5,82.19,102.26,13.29,59.34
3/10/2016,29.59,82.18,101.17,13.15,58.61
3/9/2016,29.74,82.4,101.12,13.19,59.12
3/8/2016,29.36,82.63,101.03,13.23,58.78
3/7/2016,29.79,84.46,101.87,13.62,59.94
3/4/2016,29.71,82.29,103.01,13.59,60.05
3/3/2016,29.89,82.4,101.5,13.54,59.96
3/2/2016,29.98,82.7,100.75,13.22,59.76
3/1/2016,30.04,81.28,100.53,13.09,59.2
2/29/2016,29.67,80.15,96.69,12.51,56.3
2/26/2016,30.23,81.75,96.91,12.47,57.54
2/25/2016,30.59,82.01,96.76,12.39,57.01
2/24/2016,30.02,81.52,96.1,12.08,56.14
