DATE,GS1,GS10,GS3,GS30,GS5,UNRATE
1948-01-01,,,,,,3.4
1948-02-01,,,,,,3.8
1948-03-01,,,,,,4.0
1948-04-01,,,,,,3.9
1948-05-01,,,,,,3.5
1948-06-01,,,,,,3.6
1948-07-01,,,,,,3.6
1948-08-01,,,,,,3.9
1948-09-01,,,,,,3.8
1948-10-01,,,,,,3.7
1948-11-01,,,,,,3.8
1948-12-01,,,,,,4.0
1949-01-01,,,,,,4.3
1949-02-01,,,,,,4.7
1949-03-01,,,,,,5.0
1949-04-01,,,,,,5.3
1949-05-01,,,,,,6.1
1949-06-01,,,,,,6.2
1949-07-01,,,,,,6.7
1949-08-01,,,,,,6.8
1949-09-01,,,,,,6.6
1949-10-01,,,,,,7.9
1949-11-01,,,,,,6.4
1949-12-01,,,,,,6.6
1950-01-01,,,,,,6.5
1950-02-01,,,,,,6.4
1950-03-01,,,,,,6.3
1950-04-01,,,,,,5.8
1950-05-01,,,,,,5.5
1950-06-01,,,,,,5.4
1950-07-01,,,,,,5.0
1950-08-01,,,,,,4.5
1950-09-01,,,,,,4.4
1950-10-01,,,,,,4.2
1950-11-01,,,,,,4.2
1950-12-01,,,,,,4.3
1951-01-01,,,,,,3.7
1951-02-01,,,,,,3.4
1951-03-01,,,,,,3.4
1951-04-01,,,,,,3.1
1951-05-01,,,,,,3.0
1951-06-01,,,,,,3.2
1951-07-01,,,,,,3.1
1951-08-01,,,,,,3.1
1951-09-01,,,,,,3.3
1951-10-01,,,,,,3.5
1951-11-01,,,,,,3.5
1951-12-01,,,,,,3.1
1952-01-01,,,,,,3.2
1952-02-01,,,,,,3.1
1952-03-01,,,,,,2.9
1952-04-01,,,,,,2.9
1952-05-01,,,,,,3.0
1952-06-01,,,,,,3.0
1952-07-01,,,,,,3.2
1952-08-01,,,,,,3.4
1952-09-01,,,,,,3.1
1952-10-01,,,,,,3.0
1952-11-01,,,,,,2.8
1952-12-01,,,,,,2.7
1953-01-01,,,,,,2.9
1953-02-01,,,,,,2.6
1953-03-01,,,,,,2.6
1953-04-01,2.36,2.83,2.51,,2.62,2.7
1953-05-01,2.48,3.05,2.72,,2.87,2.5
1953-06-01,2.45,3.11,2.74,,2.94,2.5
1953-07-01,2.38,2.93,2.62,,2.75,2.6
1953-08-01,2.28,2.95,2.58,,2.80,2.7
1953-09-01,2.20,2.87,2.56,,2.71,2.9
1953-10-01,1.79,2.66,2.23,,2.43,3.1
1953-11-01,1.67,2.68,2.20,,2.42,3.5
1953-12-01,1.66,2.59,2.07,,2.32,4.5
1954-01-01,1.41,2.48,1.89,,2.17,4.9
1954-02-01,1.14,2.47,1.63,,2.04,5.2
1954-03-01,1.13,2.37,1.59,,1.93,5.7
1954-04-01,0.96,2.29,1.54,,1.87,5.9
1954-05-01,0.85,2.37,1.56,,1.92,5.9
1954-06-01,0.82,2.38,1.53,,1.92,5.6
1954-07-01,0.84,2.30,1.47,,1.85,5.8
1954-08-01,0.88,2.36,1.49,,1.90,6.0
1954-09-01,1.03,2.38,1.60,,1.96,6.1
1954-10-01,1.17,2.43,1.72,,2.02,5.7
1954-11-01,1.14,2.48,1.75,,2.09,5.3
1954-12-01,1.21,2.51,1.81,,2.16,5.0
1955-01-01,1.39,2.61,1.99,,2.32,4.9
1955-02-01,1.57,2.65,2.12,,2.38,4.7
1955-03-01,1.59,2.68,2.26,,2.48,4.6
1955-04-01,1.75,2.75,2.37,,2.55,4.7
1955-05-01,1.90,2.76,2.37,,2.56,4.3
1955-06-01,1.91,2.78,2.39,,2.59,4.2
1955-07-01,2.02,2.90,2.51,,2.72,4.0
1955-08-01,2.37,2.97,2.72,,2.86,4.2
1955-09-01,2.36,2.97,2.69,,2.85,4.1
1955-10-01,2.39,2.88,2.62,,2.76,4.3
1955-11-01,2.48,2.89,2.73,,2.81,4.2
1955-12-01,2.73,2.96,2.88,,2.93,4.2
1956-01-01,2.58,2.90,2.78,,2.84,4.0
1956-02-01,2.49,2.84,2.67,,2.74,3.9
1956-03-01,2.61,2.96,2.89,,2.93,4.2
1956-04-01,2.92,3.18,3.19,,3.20,4.0
1956-05-01,2.94,3.07,3.08,,3.08,4.3
1956-06-01,2.74,3.00,2.95,,2.97,4.3
1956-07-01,2.76,3.11,3.06,,3.12,4.4
1956-08-01,3.10,3.33,3.39,,3.41,4.1
1956-09-01,3.35,3.38,3.50,,3.47,3.9
1956-10-01,3.28,3.34,3.40,,3.40,3.9
1956-11-01,3.44,3.49,3.57,,3.56,4.3
1956-12-01,3.68,3.59,3.76,,3.70,4.2
1957-01-01,3.37,3.46,3.46,,3.47,4.2
1957-02-01,3.38,3.34,3.42,,3.39,3.9
1957-03-01,3.42,3.41,3.47,,3.46,3.7
1957-04-01,3.49,3.48,3.53,,3.53,3.9
1957-05-01,3.48,3.60,3.61,,3.64,4.1
1957-06-01,3.65,3.80,3.80,,3.83,4.3
1957-07-01,3.81,3.93,3.96,,4.00,4.2
1957-08-01,4.01,3.93,4.02,,4.00,4.1
1957-09-01,4.07,3.92,4.06,,4.03,4.4
1957-10-01,4.01,3.97,4.09,,4.08,4.5
1957-11-01,3.57,3.72,3.70,,3.72,5.1
1957-12-01,3.18,3.21,3.11,,3.08,5.2
1958-01-01,2.65,3.09,2.78,,2.88,5.8
1958-02-01,1.99,3.05,2.58,,2.78,6.4
1958-03-01,1.84,2.98,2.40,,2.64,6.7
1958-04-01,1.45,2.88,2.15,,2.46,7.4
1958-05-01,1.37,2.92,2.07,,2.41,7.4
1958-06-01,1.23,2.97,2.08,,2.46,7.3
1958-07-01,1.61,3.20,2.42,,2.77,7.5
1958-08-01,2.50,3.54,3.06,,3.29,7.4
1958-09-01,3.05,3.76,3.52,,3.69,7.1
1958-10-01,3.19,3.80,3.67,,3.78,6.7
1958-11-01,3.10,3.74,3.60,,3.70,6.2
1958-12-01,3.29,3.86,3.72,,3.82,6.2
1959-01-01,3.36,4.02,3.91,,4.01,6.0
1959-02-01,3.54,3.96,3.92,,3.96,5.9
1959-03-01,3.61,3.99,3.97,,3.99,5.6
1959-04-01,3.72,4.12,4.03,,4.12,5.2
1959-05-01,3.96,4.31,4.25,,4.35,5.1
1959-06-01,4.07,4.34,4.52,,4.50,5.0
1959-07-01,4.39,4.40,4.60,,4.58,5.1
1959-08-01,4.42,4.43,4.60,,4.57,5.2
1959-09-01,5.00,4.68,4.97,,4.90,5.5
1959-10-01,4.80,4.53,4.78,,4.72,5.7
1959-11-01,4.81,4.53,4.85,,4.75,5.8
1959-12-01,5.14,4.69,5.12,,5.01,5.3
1960-01-01,5.03,4.72,4.99,,4.92,5.2
1960-02-01,4.66,4.49,4.73,,4.69,4.8
1960-03-01,4.02,4.25,4.29,,4.31,5.4
1960-04-01,4.04,4.28,4.27,,4.29,5.2
1960-05-01,4.21,4.35,4.46,,4.49,5.1
1960-06-01,3.36,4.15,4.01,,4.12,5.4
1960-07-01,3.20,3.90,3.63,,3.79,5.5
1960-08-01,2.95,3.80,3.41,,3.62,5.6
1960-09-01,3.07,3.80,3.43,,3.61,5.5
1960-10-01,3.04,3.89,3.53,,3.76,6.1
1960-11-01,3.08,3.93,3.60,,3.81,6.1
1960-12-01,2.86,3.84,3.42,,3.67,6.6
1961-01-01,2.81,3.84,3.39,,3.67,6.6
1961-02-01,2.93,3.78,3.46,,3.66,6.9
1961-03-01,2.88,3.74,3.35,,3.60,6.9
1961-04-01,2.88,3.78,3.33,,3.57,7.0
1961-05-01,2.87,3.71,3.23,,3.47,7.1
1961-06-01,3.06,3.88,3.63,,3.81,6.9
1961-07-01,2.92,3.92,3.59,,3.84,7.0
1961-08-01,3.06,4.04,3.76,,3.96,6.6
1961-09-01,3.06,3.98,3.73,,3.90,6.7
1961-10-01,3.05,3.92,3.62,,3.80,6.5
1961-11-01,3.07,3.94,3.61,,3.82,6.1
1961-12-01,3.18,4.06,3.72,,3.91,6.0
1962-01-01,3.28,4.08,3.76,,3.94,5.8
1962-02-01,3.28,4.04,3.69,,3.89,5.5
1962-03-01,3.06,3.93,3.45,,3.68,5.6
1962-04-01,2.99,3.84,3.38,,3.60,5.6
1962-05-01,3.03,3.87,3.40,,3.66,5.5
1962-06-01,3.03,3.91,3.39,,3.64,5.5
1962-07-01,3.29,4.01,3.62,,3.80,5.4
1962-08-01,3.20,3.98,3.46,,3.71,5.7
1962-09-01,3.06,3.98,3.41,,3.70,5.6
1962-10-01,2.98,3.93,3.33,,3.64,5.4
1962-11-01,3.00,3.92,3.40,,3.60,5.7
1962-12-01,3.01,3.86,3.37,,3.56,5.5
1963-01-01,3.04,3.83,3.40,,3.58,5.7
1963-02-01,3.01,3.92,3.39,,3.66,5.9
1963-03-01,3.03,3.93,3.41,,3.68,5.7
1963-04-01,3.11,3.97,3.50,,3.74,5.7
1963-05-01,3.12,3.93,3.54,,3.72,5.9
1963-06-01,3.20,3.99,3.61,,3.81,5.6
1963-07-01,3.48,4.02,3.76,,3.89,5.6
1963-08-01,3.53,4.00,3.77,,3.89,5.4
1963-09-01,3.57,4.08,3.82,,3.96,5.5
1963-10-01,3.64,4.11,3.87,,3.97,5.5
1963-11-01,3.74,4.12,3.95,,4.01,5.7
1963-12-01,3.81,4.13,4.01,,4.04,5.5
1964-01-01,3.79,4.17,4.04,,4.07,5.6
1964-02-01,3.78,4.15,4.00,,4.03,5.4
1964-03-01,3.91,4.22,4.12,,4.14,5.4
1964-04-01,3.91,4.23,4.15,,4.15,5.3
1964-05-01,3.84,4.20,4.04,,4.05,5.1
1964-06-01,3.83,4.17,4.01,,4.02,5.2
1964-07-01,3.72,4.19,3.93,,4.03,4.9
1964-08-01,3.74,4.19,3.93,,4.05,5.0
1964-09-01,3.84,4.20,4.01,,4.08,5.1
1964-10-01,3.86,4.19,4.02,,4.07,5.1
1964-11-01,3.91,4.15,4.04,,4.04,4.8
1964-12-01,4.02,4.18,4.08,,4.09,5.0
1965-01-01,3.94,4.19,4.03,,4.10,4.9
1965-02-01,4.03,4.21,4.08,,4.15,5.1
1965-03-01,4.06,4.21,4.13,,4.15,4.7
1965-04-01,4.04,4.20,4.12,,4.15,4.8
1965-05-01,4.03,4.21,4.11,,4.15,4.6
1965-06-01,3.99,4.21,4.08,,4.15,4.6
1965-07-01,3.98,4.20,4.09,,4.15,4.4
1965-08-01,4.07,4.25,4.16,,4.20,4.4
1965-09-01,4.20,4.29,4.24,,4.25,4.3
1965-10-01,4.30,4.35,4.33,,4.34,4.2
1965-11-01,4.37,4.45,4.45,,4.46,4.1
1965-12-01,4.72,4.62,4.79,,4.72,4.0
1966-01-01,4.88,4.61,4.90,,4.86,4.0
1966-02-01,4.94,4.83,5.02,,4.98,3.8
1966-03-01,4.97,4.87,4.97,,4.92,3.8
1966-04-01,4.90,4.75,4.89,,4.83,3.8
1966-05-01,4.93,4.78,5.00,,4.89,3.9
1966-06-01,4.97,4.81,5.05,,4.97,3.8
1966-07-01,5.17,5.02,5.26,,5.17,3.8
1966-08-01,5.54,5.22,5.68,,5.50,3.8
1966-09-01,5.82,5.18,5.79,,5.50,3.7
1966-10-01,5.58,5.01,5.48,,5.27,3.7
1966-11-01,5.54,5.16,5.53,,5.36,3.6
1966-12-01,5.20,4.84,5.19,,5.00,3.8
1967-01-01,4.75,4.58,4.75,,4.70,3.9
1967-02-01,4.71,4.63,4.73,,4.74,3.8
1967-03-01,4.35,4.54,4.47,,4.54,3.8
1967-04-01,4.11,4.59,4.38,,4.51,3.8
1967-05-01,4.15,4.85,4.61,,4.75,3.8
1967-06-01,4.48,5.02,4.89,,5.01,3.9
1967-07-01,5.01,5.16,5.06,,5.23,3.8
1967-08-01,5.13,5.28,5.23,,5.31,3.8
