DATE,PAYEMS_CHG,UNRATE
4/1/1939,222,.
7/1/1939,530,.
10/1/1939,507,.
1/1/1940,287,.
4/1/1940,152,.
7/1/1940,832,.
10/1/1940,1362,.
1/1/1941,922,.
4/1/1941,1557,.
7/1/1941,1184,.
10/1/1941,269,.
1/1/1942,832,.
4/1/1942,1092,.
7/1/1942,1227,.
10/1/1942,660,.
1/1/1943,638,.
4/1/1943,228,.
7/1/1943,-296,.
10/1/1943,261,.
1/1/1944,-454,.
4/1/1944,-345,.
7/1/1944,-275,.
10/1/1944,189,.
1/1/1945,-65,.
4/1/1945,-647,.
7/1/1945,-2649,.
10/1/1945,612,.
1/1/1946,1081,.
4/1/1946,1540,.
7/1/1946,1176,.
10/1/1946,470,.
1/1/1947,227,.
4/1/1947,202,.
7/1/1947,393,.
10/1/1947,378,.
1/1/1948,102,4
4/1/1948,352,3.6
7/1/1948,262,3.8
10/1/1948,-266,4
1/1/1949,-791,5
4/1/1949,-499,6.2
7/1/1949,45,6.6
10/1/1949,-267,6.6
1/1/1950,435,6.3
4/1/1950,1132,5.4
7/1/1950,1358,4.4
10/1/1950,413,4.3
1/1/1951,1016,3.4
4/1/1951,197,3.2
7/1/1951,-113,3.3
10/1/1951,354,3.1
1/1/1952,195,2.9
4/1/1952,-218,3
7/1/1952,1033,3.1
10/1/1952,845,2.7
1/1/1953,311,2.6
4/1/1953,47,2.5
7/1/1953,-157,2.9
10/1/1953,-663,4.5
1/1/1954,-544,5.7
4/1/1954,-262,5.6
7/1/1954,-14,6.1
10/1/1954,449,5
1/1/1955,632,4.6
4/1/1955,827,4.2
7/1/1955,472,4.1
10/1/1955,543,4.2
1/1/1956,490,4.2
4/1/1956,289,4.3
7/1/1956,17,3.9
10/1/1956,329,4.2
1/1/1957,227,3.7
4/1/1957,-91,4.3
7/1/1957,-134,4.4
10/1/1957,-547,5.2
1/1/1958,-1085,6.7
4/1/1958,-388,7.3
7/1/1958,594,7.1
10/1/1958,582,6.2
1/1/1959,928,5.6
4/1/1959,663,5
7/1/1959,-250,5.5
10/1/1959,746,5.3
1/1/1960,283,5.4
4/1/1960,-111,5.4
7/1/1960,-119,5.5
10/1/1960,-484,6.6
1/1/1961,-82,6.9
4/1/1961,315,6.9
7/1/1961,411,6.7
10/1/1961,483,6
1/1/1962,405,5.6
4/1/1962,368,5.5
7/1/1962,333,5.6
10/1/1962,51,5.5
1/1/1963,294,5.7
4/1/1963,336,5.6
7/1/1963,419,5.5
10/1/1963,283,5.5
1/1/1964,538,5.4
4/1/1964,323,5.2
7/1/1964,682,5.1
10/1/1964,518,5
1/1/1965,582,4.7
4/1/1965,687,4.6
7/1/1965,800,4.3
10/1/1965,831,4
1/1/1966,871,3.8
4/1/1966,918,3.8
7/1/1966,534,3.7
10/1/1966,556,3.8
1/1/1967,330,3.8
4/1/1967,220,3.9
7/1/1967,414,3.8
10/1/1967,736,3.8
1/1/1968,395,3.7
4/1/1968,609,3.7
7/1/1968,583,3.4
10/1/1968,759,3.4
1/1/1969,659,3.4
4/1/1969,731,3.5
7/1/1969,281,3.7
10/1/1969,323,3.5
1/1/1970,212,4.4
4/1/1970,-423,4.9
7/1/1970,-81,5.4
10/1/1970,-158,6.1
1/1/1971,69,6
4/1/1971,394,5.9
7/1/1971,364,6
10/1/1971,491,6
1/1/1972,837,5.8
4/1/1972,815,5.7
7/1/1972,503,5.5
10/1/1972,1007,5.2
1/1/1973,1015,4.9
4/1/1973,602,4.9
7/1/1973,389,4.8
10/1/1973,759,4.9
1/1/1974,261,5.1
4/1/1974,306,5.4
7/1/1974,9,5.9
10/1/1974,-954,7.2
1/1/1975,-1008,8.6
4/1/1975,-129,8.8
7/1/1975,710,8.4
10/1/1975,788,8.2
1/1/1976,1031,7.6
4/1/1976,327,7.6
7/1/1976,516,7.6
10/1/1976,556,7.8
1/1/1977,943,7.4
4/1/1977,1097,7.2
7/1/1977,1044,6.8
10/1/1977,876,6.4
