DATE,PCEC,GCE,NETEXP,GPDI,GDPDEF
1/1/1947,156.3,40.1,10.9,35.9,12.566
4/1/1947,160.2,40.3,11.3,34.5,12.745
7/1/1947,163.7,39.8,11.8,34.9,12.957
10/1/1947,167.8,40,9.3,43.2,13.276
1/1/1948,170.5,41.2,7.3,47.2,13.379
4/1/1948,174.3,43.1,5.2,50.3,13.497
7/1/1948,177.2,44.8,4.9,52.5,13.747
10/1/1948,178.1,46.8,4.5,51.3,13.789
1/1/1949,177,48.8,6.5,43.1,13.717
4/1/1949,178.6,50.6,6.3,36.2,13.579
7/1/1949,177.9,50.6,5.2,39.5,13.509
10/1/1949,180.4,50.1,3,37.5,13.518
1/1/1950,183.1,49.2,2.2,46.7,13.49
4/1/1950,187,49.9,1.6,52.3,13.538
7/1/1950,200.7,50,-0.7,58.6,13.832
10/1/1950,198.1,53.9,-0.2,68.4,14.09
1/1/1951,209.4,62.3,0.2,64.6,14.596
4/1/1951,205.1,70,1.9,67.4,14.692
7/1/1951,207.8,78.3,3.7,62,14.701
10/1/1951,211.7,83.6,4.2,57.1,14.869
1/1/1952,213.1,85.3,3.7,58.1,14.863
4/1/1952,217.2,89.2,2,53,14.882
7/1/1952,219.7,91.2,0,57.2,15.048
10/1/1952,227.9,93.7,-1,60.7,15.091
1/1/1953,231.5,96,-0.7,61.7,15.096
4/1/1953,233.2,98.2,-1.3,62.1,15.125
7/1/1953,233.9,96.9,-0.6,61.4,15.188
10/1/1953,233.4,97,-0.3,56.4,15.219
1/1/1954,235.4,95.1,-0.4,55.7,15.266
4/1/1954,238.2,92.8,0.3,55.4,15.281
7/1/1954,240.6,91.4,0.6,59,15.3
10/1/1954,245.4,91.6,1.1,62.1,15.343
1/1/1955,251.8,92.2,1.1,68.7,15.417
4/1/1955,256.8,92.8,-0.2,72.7,15.481
7/1/1955,261,94.4,0.7,74.7,15.59
10/1/1955,265.1,93.6,0.2,78.9,15.743
1/1/1956,266.6,95.2,0.4,78.3,15.902
4/1/1956,269.3,98.6,1.9,77,15.997
7/1/1956,272.5,98.6,2.6,78.3,16.197
10/1/1956,277.9,101.7,4.5,77.1,16.264
1/1/1957,282.3,105.7,4.8,77.7,16.485
4/1/1957,284.6,106.2,4.1,77.9,16.601
7/1/1957,289.2,107.8,4,79.3,16.701
10/1/1957,290.8,110.4,3.4,71,16.711
1/1/1958,290.3,110.2,1.1,66.7,16.892
4/1/1958,293.2,114,0.5,65.1,16.94
7/1/1958,298.3,115.5,0.9,72,17.043
10/1/1958,302.2,118.4,-0.3,80,17.123
1/1/1959,309.9,117.6,0.4,83.2,17.169
4/1/1959,315.9,119,0,89.4,17.194
7/1/1959,321.1,119.9,0.6,83.6,17.258
10/1/1959,323.2,119,0.6,86.5,17.326
1/1/1960,326.7,117.4,2.7,96.5,17.397
4/1/1960,332.6,118.9,4.2,87.1,17.443
7/1/1960,332.5,122.9,4.2,86.4,17.506
10/1/1960,334.5,124.9,5.8,76,17.56
1/1/1961,335,126.8,5.8,78.4,17.598
4/1/1961,339.9,127.9,5.5,84.1,17.641
7/1/1961,342.8,130.6,3.9,90.9,17.687
10/1/1961,350.1,134.2,4.4,92.9,17.745
1/1/1962,355.4,137.8,4,98.1,17.837
4/1/1962,361,139.1,5.8,96.7,17.866
7/1/1962,364.9,142.7,3.8,98.2,17.903
10/1/1962,371.1,144.2,2.8,95,17.938
1/1/1963,374.7,144.4,3.9,99.7,18.017
4/1/1963,378.9,144.8,6.5,101.6,18.047
7/1/1963,385.8,150.6,3.9,104.6,18.069
10/1/1963,390.5,151.7,5.4,107.2,18.216
1/1/1964,400.1,153.3,7.3,110.5,18.274
4/1/1964,408.1,155.1,7.1,110.5,18.318
7/1/1964,417,156.8,6.4,112.6,18.392
10/1/1964,419.6,156.9,6.9,115,18.476
1/1/1965,430.3,157.8,4.6,126.5,18.569
4/1/1965,437.2,160.6,7.5,127,18.652
7/1/1965,446.4,167.6,4.9,131.2,18.726
10/1/1965,460.4,173.5,5.5,133.8,18.853
1/1/1966,470.8,177.9,4.4,144.2,18.975
4/1/1966,475.9,182.6,5.2,143.5,19.131
7/1/1966,485,190.4,2.2,143.2,19.317
10/1/1966,490.8,194.7,3.6,145.9,19.481
1/1/1967,495.1,203.6,4.6,142.8,19.562
4/1/1967,504.2,204.8,4.5,137.5,19.661
7/1/1967,511.4,209.4,2.9,142.8,19.849
10/1/1967,518.9,214.4,2.2,147.7,20.067
1/1/1968,536.9,220.9,1.1,152.3,20.29
4/1/1968,550.6,224.8,1.9,158.9,20.504
7/1/1968,566.7,228.6,1.3,155.7,20.706
10/1/1968,575.6,232.7,1.1,160.8,20.999
1/1/1969,587.8,235,0.2,172.4,21.217
4/1/1969,599.2,238.2,1.2,172.7,21.488
7/1/1969,609.5,244,1,177.6,21.79
10/1/1969,621.5,244.3,3.3,171.6,22.071
1/1/1970,632.6,249.4,3.4,168.1,22.382
4/1/1970,642.5,250.7,5.4,171.5,22.694
7/1/1970,654.5,256.2,3.8,173.9,22.88
10/1/1970,661.2,260.4,3.2,166.8,23.182
1/1/1971,680.2,263.7,4.4,189.5,23.536
4/1/1971,694.3,268,-0.2,197.3,23.846
7/1/1971,706.7,271.7,-0.1,202.1,24.088
10/1/1971,722.9,274,-1.7,198.4,24.288
1/1/1972,740.1,284.3,-3.5,213,24.664
4/1/1972,758.6,289,-4.3,226.8,24.815
7/1/1972,777.1,286.3,-2.6,233.1,25.048
10/1/1972,801.9,293.5,-3.1,239.7,25.366
1/1/1973,826.5,301.3,-1.4,254.3,25.661
4/1/1973,842,304.9,2.5,268.2,26.052
7/1/1973,860.5,305.6,6.4,264.3,26.549
10/1/1973,875.6,313.7,9,280.9,27.077
1/1/1974,893.8,326.1,6.4,268.4,27.592
4/1/1974,922.3,337.3,-2.7,277.4,28.248
7/1/1974,951.1,348.3,-7,271,29.067
10/1/1974,960.9,360.8,0,281.3,29.923
1/1/1975,987.1,371.7,16.5,244.3,30.601
4/1/1975,1015.8,375.8,21.6,243.3,31.059
7/1/1975,1049.6,387,12,265.2,31.612
10/1/1975,1078.5,397.3,13.8,276.2,32.139
1/1/1976,1112.3,402.9,4.7,304.6,32.473
4/1/1976,1132,403.2,-0.5,322.3,32.803
7/1/1976,1161.3,404.9,-4.1,328.3,33.226
10/1/1976,1195.1,412.3,-6.6,337.6,33.815
1/1/1977,1230.6,422.7,-21.1,360.3,34.359
4/1/1977,1258.5,433.1,-21.1,389.7,34.841
7/1/1977,1289.7,439.1,-20.6,414.1,35.27
10/1/1977,1327.9,448.1,-29.6,422.3,36.036
1/1/1978,1357.8,454.8,-38.7,434.8,36.573
4/1/1978,1415.3,473.3,-22.6,470.6,37.242
7/1/1978,1446.2,484,-23.8,492.4,37.865
10/1/1978,1485.4,497.4,-16.4,515.8,38.661
1/1/1979,1521,502.9,-18.2,525.8,39.352
4/1/1979,1561.5,517.3,-22.2,539.3,40.304
7/1/1979,1616,531.8,-23,545.6,41.165
10/1/1979,1659.5,550.2,-26.8,547.9,41.986
1/1/1980,1706.5,571.2,-35.8,554.6,42.859
4/1/1980,1708.9,586.9,-15.2,519.3,43.8
7/1/1980,1767.7,591.8,5.5,495.1,44.808
10/1/1980,1835.4,613.4,-6.7,551.5,46.046
1/1/1981,1890.7,636,-14.3,619.4,47.196
4/1/1981,1921.9,649,-13.5,609.8,48.081
7/1/1981,1961.2,655.2,-7.6,652.3,48.946
10/1/1981,1976.1,678.8,-14.8,643.4,49.863
1/1/1982,2014.4,687.4,-16.3,588.3,50.561
4/1/1982,2041.1,701,-4.4,593.6,51.17
7/1/1982,2089.2,714.5,-29.6,593,51.907
10/1/1982,2150.9,737.2,-29.6,549.2,52.483
1/1/1983,2190.6,748.8,-24.5,565.5,52.907
4/1/1983,2254.5,761,-45.4,613.8,53.265
7/1/1983,2324.3,780.9,-65.2,652.3,53.823
10/1/1983,2376.7,772.3,-71.4,718.5,54.219
1/1/1984,2422.8,794.2,-95,790.9,54.796
4/1/1984,2481.2,819.2,-104.3,818.9,55.257
7/1/1984,2519.7,832.7,-103.8,838.9,55.705
10/1/1984,2568.9,854.7,-107.8,831.7,56.079
1/1/1985,2643.9,874.5,-91.3,809.9,56.724
